card_type,name,test_card_number,exp_month,exp_year,cvv,cvv2,status
"Visa","Casey Coleman","4000 0566 5566 5556","02","2027","971","329","Valid Luhn test number"
"Visa","Blake Bennett","4242 4242 4242 4242","09","2031","247","395","Valid Luhn test number"
"Visa","Parker Parker","4000 0566 5566 5556","09","2027","601","396","Valid Luhn test number"
"Visa","Skyler Mitchell","4242 4242 4242 4242","03","2032","894","518","Valid Luhn test number"
"Visa","Morgan Morgan","4242 4242 4242 4242","07","2031","962","558","Valid Luhn test number"
"Visa","Rowan Walker","4242 4242 4242 4242","12","2032","769","837","Valid Luhn test number"
"Visa","Taylor Carter","4000 0566 5566 5556","12","2028","793","316","Valid Luhn test number"
"Visa","Taylor Carter","4242 4242 4242 4242","01","2028","103","155","Valid Luhn test number"
"Visa","Morgan Edwards","4111 1111 1111 1111","02","2032","861","269","Valid Luhn test number"
"Visa","Sage Foster","4242 4242 4242 4242","11","2032","584","565","Valid Luhn test number"
"Visa","Jordan Parker","4242 4242 4242 4242","03","2028","898","281","Valid Luhn test number"
"Visa","Harper Bennett","4242 4242 4242 4242","06","2030","307","146","Valid Luhn test number"
"Visa","Riley Mitchell","4242 4242 4242 4242","09","2028","549","390","Valid Luhn test number"
"Visa","Riley Bennett","4111 1111 1111 1111","12","2029","122","463","Valid Luhn test number"
"Visa","Jordan Bennett","4000 0566 5566 5556","04","2030","453","739","Valid Luhn test number"
"Visa","Avery Coleman","4111 1111 1111 1111","03","2028","545","325","Valid Luhn test number"
"Visa","Sage Adams","4242 4242 4242 4242","11","2032","906","511","Valid Luhn test number"
"Visa","Skyler Hayes","4111 1111 1111 1111","03","2031","103","958","Valid Luhn test number"
"Visa","Parker Foster","4242 4242 4242 4242","04","2028","953","143","Valid Luhn test number"
"Visa","Morgan Hayes","4111 1111 1111 1111","12","2029","207","300","Valid Luhn test number"
"Mastercard","Sage Sullivan","5105 1051 0510 5100","02","2029","343","969","Valid Luhn test number"
"Mastercard","Jordan Reed","5105 1051 0510 5100","11","2030","942","802","Valid Luhn test number"
"Mastercard","Avery Diaz","5555 5555 5555 4444","02","2029","686","525","Valid Luhn test number"
"Mastercard","Avery Diaz","5555 5555 5555 4444","03","2029","395","767","Valid Luhn test number"
"Mastercard","Avery Adams","5105 1051 0510 5100","09","2030","981","643","Valid Luhn test number"
"Mastercard","Skyler Morgan","5105 1051 0510 5100","03","2027","152","131","Valid Luhn test number"
"Mastercard","Rowan Coleman","5105 1051 0510 5100","09","2030","570","529","Valid Luhn test number"
"Mastercard","Rowan Coleman","5105 1051 0510 5100","03","2032","126","374","Valid Luhn test number"
"Mastercard","Parker Reed","5555 5555 5555 4444","02","2030","195","472","Valid Luhn test number"
"Mastercard","Casey Diaz","5105 1051 0510 5100","01","2032","429","425","Valid Luhn test number"
"Mastercard","Morgan Sullivan","5555 5555 5555 4444","05","2027","371","292","Valid Luhn test number"
"Mastercard","Sage Adams","5105 1051 0510 5100","05","2030","583","578","Valid Luhn test number"
"Mastercard","Casey Reed","5555 5555 5555 4444","02","2028","344","998","Valid Luhn test number"
"Mastercard","Avery Bennett","5555 5555 5555 4444","04","2028","896","744","Valid Luhn test number"
"Mastercard","Parker Sullivan","5555 5555 5555 4444","10","2027","354","369","Valid Luhn test number"
"Mastercard","Blake Parker","5555 5555 5555 4444","08","2030","553","901","Valid Luhn test number"
"Mastercard","Jordan Edwards","5555 5555 5555 4444","09","2027","834","137","Valid Luhn test number"
"Mastercard","Rowan Brooks","5105 1051 0510 5100","07","2031","835","775","Valid Luhn test number"
"Mastercard","Sage Edwards","5555 5555 5555 4444","03","2031","539","369","Valid Luhn test number"
"Mastercard","Casey Brooks","5555 5555 5555 4444","04","2027","487","320","Valid Luhn test number"
